Nom_Fichier,Artiste,Cluster_ID,Distance_Centroide,Score_Silhouette
delaunay-r_18.jpg,Delaunay-r,4,5.7218,0.0772
delaunay-r_19.jpg,Delaunay-r,18,6.9005,-0.0229
delaunay-r_2.jpg,Delaunay-r,3,5.246,0.0257
delaunay-r_21.jpg,Delaunay-r,2,7.8378,0.0202
delaunay-r_32.jpg,Delaunay-r,2,7.7759,0.014
delaunay-r_34.jpg,Delaunay-r,3,6.6269,0.0021
delaunay-r_35.jpg,Delaunay-r,2,7.4761,0.0552
delaunay-r_36.jpg,Delaunay-r,2,7.219,-0.0002
delaunay-r_4.jpg,Delaunay-r,2,8.1547,0.017
delaunay-r_5.jpg,Delaunay-r,2,7.9871,-0.0164
delaunay-r_9.jpg,Delaunay-r,4,4.8461,0.0884
delaunay-s_10.jpg,Delaunay-s,2,7.7001,-0.0347
delaunay-s_12.jpg,Delaunay-s,2,7.518,-0.1064
delaunay-s_16.jpg,Delaunay-s,3,5.9665,-0.0188
delaunay-s_17.jpg,Delaunay-s,3,5.9326,-0.0193
delaunay-s_18.jpg,Delaunay-s,2,7.6271,-0.0105
delaunay-s_2.jpg,Delaunay-s,6,4.8431,0.0355
delaunay-s_3.jpg,Delaunay-s,6,7.8384,0.0025
delaunay-s_4.jpg,Delaunay-s,6,6.2996,0.0116
delaunay-s_5.jpg,Delaunay-s,6,5.61,0.0153
delaunay-s_6.jpg,Delaunay-s,6,6.083,0.0433
delaunay-s_7.jpg,Delaunay-s,2,7.8146,-0.0179
delaunay-s_8.jpg,Delaunay-s,3,6.102,-0.0202
delporte_1.jpg,Delporte,4,4.4509,0.1154
delprat_1.jpg,Delprat,12,7.8224,0.1055
devade_1.jpg,Devade,10,8.1875,-0.0334
deyrolle_1.jpg,Deyrolle,6,6.8332,0.0039
dezeuze_1.jpg,Dezeuze,11,12.65,0.001
dezeuze_2.jpg,Dezeuze,12,7.4636,0.0045
diebenkorn_1.jpg,Diebenkorn,16,5.201,0.0065
dmitrienko_1.jpg,Dmitrienko,2,8.3562,-0.0875
do-amaral_17.jpg,Do-amaral,7,5.9114,0.0342
do-amaral_18.jpg,Do-amaral,7,5.4308,-0.0248
doka_1.jpg,Doka,2,7.8716,-0.07
domela_1.jpg,Domela,8,8.1902,0.0336
domela_2.jpg,Domela,11,10.5131,-0.0579
domela_3.jpg,Domela,11,9.4603,-0.0797
domela_4.jpg,Domela,11,7.1227,-0.0855
domela_5.jpg,Domela,11,7.2105,-0.1177
domela_6.jpg,Domela,11,8.21,-0.1362
domela_7.jpg,Domela,11,8.6215,-0.1258
dominguez_1.jpg,Dominguez,16,8.1374,0.0168
dominguez_2.jpg,Dominguez,16,7.7289,-0.0092
dondi-white_1.jpg,Dondi-white,16,7.7975,0.0297
dorazio_1.jpg,Dorazio,4,6.0946,0.0705
dordek_1.jpg,Dordek,2,6.1228,-0.1021
dotremont_1.jpg,Dotremont,0,6.3312,0.0522
doumar_1.jpg,Doumar,3,7.1437,0.0102
drew_1.jpg,Drew,15,5.5927,0.025
du-pasquier_1.jpg,Du-pasquier,27,5.824,-0.1266
du-pasquier_2.jpg,Du-pasquier,15,5.4671,0.0783
du-pasquier_3.jpg,Du-pasquier,15,5.764,0.071
dubuffet_1.jpg,Dubuffet,15,4.6676,0.0486
dubuffet_10.jpg,Dubuffet,0,6.3524,0.0042
dubuffet_11.jpg,Dubuffet,15,6.2394,-0.0009
dubuffet_12.jpg,Dubuffet,0,5.6978,0.0585
dubuffet_13.jpg,Dubuffet,15,4.065,0.0711
dubuffet_14.jpg,Dubuffet,4,4.47,0.1101
dubuffet_16.jpg,Dubuffet,4,3.9554,0.133
dubuffet_19.jpg,Dubuffet,6,5.6973,-0.0149
