nom,classe,x,y
beloussovitch_1.jpg,2,11.382873,8.252265
benchamma_1.jpg,6,-26.180275,-0.93164
benrath_1.jpg,10,-9.206251,-9.311367
benrath_2.jpg,14,-6.517932,30.74995
bergman_1.jpg,9,-2.3923087,8.145725
bergman_10.jpg,9,3.329222,3.1700811
bergman_11.jpg,9,8.652502,2.2348201
bergman_12.jpg,9,-0.055117194,9.834285
bergman_13.jpg,11,10.502761,-3.8258574
bergman_14.jpg,11,16.469091,-19.103146
bergman_15.jpg,7,7.0969815,-15.678033
bergman_16.jpg,2,9.951782,7.7691617
bergman_17.jpg,7,8.499011,-17.328894
bergman_18.jpg,9,5.1289506,9.365239
bergman_19.jpg,7,6.9463463,-13.823634
bergman_2.jpg,11,22.64084,-23.267607
bergman_20.jpg,7,-6.0079274,-18.339302
bergman_21.jpg,11,20.54302,-16.191996
bergman_22.jpg,5,-6.064051,18.796942
bergman_23.jpg,4,-22.543467,-8.56905
bergman_24.jpg,7,15.948408,-5.1942954
bergman_25.jpg,14,-11.382455,29.532616
bergman_26.jpg,7,10.2260275,-9.703064
bergman_27.jpg,4,-15.653695,-5.552832
bergman_28.jpg,6,-22.442354,3.5520802
bergman_29.jpg,6,-14.964194,8.685426
bergman_3.jpg,12,23.257019,-23.285427
bergman_30.jpg,6,-8.201502,24.725397
bergman_31.jpg,7,12.116513,-14.584689
bergman_32.jpg,9,3.208549,12.353473
bergman_33.jpg,2,-17.525522,1.5287629
bergman_34.jpg,6,-13.223875,10.10898
bergman_35.jpg,9,-3.5335257,8.423387
bergman_36.jpg,3,-30.673859,6.9062366
bergman_37.jpg,4,-24.195951,1.5551312
bergman_38.jpg,6,-13.853825,21.093847
bergman_39.jpg,11,13.356326,-18.75827
bergman_4.jpg,9,4.8738236,9.925544
bergman_40.jpg,9,-2.3024654,14.508234
bergman_41.jpg,6,-11.654166,18.006021
bergman_42.jpg,11,19.367723,-13.5397215
bergman_43.jpg,6,-1.142002,22.593779
bergman_44.jpg,10,9.699829,5.780795
bergman_45.jpg,14,-3.5514371,28.91805
bergman_46.jpg,6,-13.694298,23.960835
bergman_47.jpg,5,-7.767496,26.440495
bergman_48.jpg,14,-4.8251057,33.188038
bergman_49.jpg,14,-12.229514,28.133337
bergman_5.jpg,1,26.931013,-4.970965
bergman_50.jpg,6,-11.4174,17.98313
bergman_51.jpg,2,-11.032903,-1.4719086
bergman_52.jpg,10,-1.686301,-15.284358
bergman_6.jpg,7,4.4900284,-19.20281
bergman_7.jpg,9,1.8974777,0.57652766
bergman_8.jpg,6,-13.168141,22.868004
bergman_9.jpg,6,-2.0216646,20.232395
bergman_91.jpg,11,19.011654,-18.866245
bergman_98.jpg,2,5.426984,20.991663
bergman_99.jpg,12,26.147997,-18.345737
berman_1.jpg,10,-9.282721,8.362743
bernsk_1.jpg,2,14.670442,12.863419
bernsk_2.jpg,4,-14.136623,-4.249657
bertholle_1.jpg,2,-15.300898,-3.3377306
bertholle_2.jpg,10,0.47484782,-13.839956
bertholle_3.jpg,10,-1.2570881,-9.288835
bertholle_4.jpg,10,-2.0271769,-7.6339455
bertrand_1.jpg,2,12.274806,7.568732
bezie_1.jpg,2,13.16974,13.641824
bissiere_1.jpg,11,17.610252,-19.674625
bissiere_2.jpg,11,16.952433,-12.737265
bloch_1.jpg,4,-29.508223,-3.501149
bloc_1.jpg,0,2.1350114,-0.75605386
boccioni_1.jpg,10,-11.758875,-0.10221067
boeti_1.jpg,2,-12.552296,0.9197456
boetti_1.jpg,4,-25.548128,-6.3074455
boetti_2.jpg,6,-11.451749,16.01343
bonneaud_1.jpg,5,-7.063769,28.701931
boumester_1.jpg,2,4.2323585,-2.487203
bourgeois_1.jpg,13,30.320236,6.6451902
bouttier_1.jpg,4,-22.30004,-8.676459
bouttier_2.jpg,4,-21.84543,1.3970577
bowling_1.jpg,10,1.7156458,-11.346884
bozzolino_1.jpg,0,3.2933402,-29.193125
bradford_1.jpg,4,-19.137177,-3.5042455
bradford_2.jpg,4,-27.488571,0.23678866
brassai_1.jpg,4,-22.092377,-0.7952358
brassai_2.jpg,10,-16.37915,-9.857058
brusse_1.jpg,6,-5.455108,16.874819
brusse_2.jpg,10,5.5672593,-0.31406537
bryen_1.jpg,2,6.024394,13.855326
bryen_2.jpg,10,-5.525517,-2.5736506
buren_1.jpg,12,23.861414,-19.154837
buren_2.jpg,12,25.338936,-19.149113
buren_3.jpg,12,28.089125,-20.534672
buren_4.jpg,12,27.833395,-20.61404
buren_5.jpg,13,31.076315,3.8505993
burri_1.jpg,6,-5.0404553,25.57721
burri_10.jpg,10,-10.265862,-6.0750875
burri_11.jpg,2,8.06045,10.554459
burri_12.jpg,2,-14.856107,3.5470335
burri_13.jpg,10,-1.9715611,3.0265293
burri_14.jpg,2,8.895885,20.746094
